transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
163,80,2519,20/5/2017,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,42226.0
164,17,2264,30/7/2017,False,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0
165,3,2637,25/10/2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38573.0
166,78,3262,27/11/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0
167,90,3177,26/4/2017,True,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0
168,87,2267,2/2/2017,False,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0
169,97,456,2/5/2017,False,Approved,Solex,Standard,medium,large,202.62,151.96,38002.0
170,6,404,16/10/2017,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838.0
171,100,3121,22/10/2017,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0
172,55,2365,11/4/2017,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259.0
173,100,2528,16/11/2017,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0
174,10,3151,17/12/2017,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,34586.0
175,25,3241,23/12/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42696.0
176,74,1335,30/3/2017,True,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,37873.0
177,90,2234,13/4/2017,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0
178,56,3226,25/7/2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0
179,62,1365,31/1/2017,False,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0
180,20,3349,18/3/2017,True,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0
181,17,1002,24/2/2017,False,Approved,Solex,Standard,high,medium,1024.66,614.8,40670.0
182,16,2282,18/2/2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,41345.0
183,46,2656,7/1/2017,False,Approved,Solex,Standard,low,medium,1289.85,74.51,41064.0
184,71,2409,5/7/2017,True,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0
185,91,1711,19/11/2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38193.0
186,17,2582,8/11/2017,True,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0
187,1,1005,24/7/2017,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873.0
188,3,1597,15/1/2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0
189,56,2713,12/1/2017,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,34143.0
190,37,1435,27/11/2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,40672.0
191,34,1477,30/6/2017,True,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526.0
192,0,1614,15/7/2017,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031.0
193,12,1254,22/6/2017,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,39880.0
194,25,1423,2/5/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,40553.0
195,81,276,27/12/2017,False,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0
196,19,1315,21/12/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,36334.0
197,45,591,23/5/2017,True,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0
198,74,1017,2/2/2017,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0
199,33,2123,8/6/2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0
200,57,2889,15/4/2017,True,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143.0
201,0,3208,5/9/2017,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0
202,23,2406,26/2/2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,39031.0
203,67,2041,29/7/2017,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0
204,81,1598,3/7/2017,True,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0
205,58,1842,27/5/2017,True,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0
206,5,141,5/5/2017,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0
207,94,1321,9/9/2017,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0
208,51,183,21/5/2017,False,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009.0
209,59,2591,22/9/2017,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37626.0
210,63,3356,12/4/2017,True,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879.0
211,40,766,7/5/2017,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0
212,80,1596,13/1/2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647.0
213,82,520,14/12/2017,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0
214,46,868,22/3/2017,True,Approved,Solex,Standard,low,medium,1289.85,74.51,41009.0
215,78,2999,30/9/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0
216,72,352,29/11/2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0
217,75,1140,9/6/2017,False,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38193.0
218,40,621,21/4/2017,False,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0
219,2,3307,13/11/2017,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0
220,10,1502,9/4/2017,True,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345.0
221,35,936,8/5/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0
222,8,939,8/7/2017,True,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0
223,2,2698,30/11/2017,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0
224,69,579,25/4/2017,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0
225,54,2036,30/3/2017,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0
226,8,3077,10/3/2017,False,Approved,Solex,Road,medium,small,1703.52,1516.13,34079.0
227,86,369,16/3/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0
228,13,821,4/4/2017,True,Approved,Solex,Standard,medium,medium,1163.89,589.27,41345.0
229,19,2687,13/3/2017,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0
230,86,681,23/12/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,41434.0
231,46,37,12/8/2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0
232,30,3002,4/8/2017,False,Approved,Solex,Standard,high,medium,748.17,448.9,36361.0
233,92,396,1/9/2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0
234,71,550,1/9/2017,True,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0
235,77,1605,2/7/2017,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0
236,7,2325,31/8/2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,37698.0
237,23,1420,11/3/2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0
238,12,3099,8/10/2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,34586.0
239,61,1645,1/10/2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42145.0
240,21,546,23/11/2017,False,Approved,Solex,Standard,medium,large,1071.23,380.74,33552.0
241,86,2885,27/3/2017,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626.0
242,57,2740,4/12/2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146.0
243,63,3166,13/11/2017,True,Approved,Solex,Standard,medium,medium,1483.2,99.59,36146.0
244,63,3487,20/12/2017,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0
245,33,2890,22/9/2017,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,40336.0
246,98,3370,22/1/2017,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172.0
247,15,3393,29/1/2017,True,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,39880.0
248,57,2410,21/7/2017,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143.0
249,61,3466,10/2/2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0
250,48,1454,25/11/2017,False,Cancelled,WeareA2B,Standard,medium,medium,1762.96,950.52,35470.0
251,63,1967,11/4/2017,True,Approved,Solex,Standard,medium,medium,1483.2,99.59,42145.0
252,78,3089,3/12/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,41533.0
253,2,3123,30/12/2017,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0
254,67,2692,26/7/2017,False,Approved,Solex,Standard,medium,large,1071.23,380.74,36334.0
255,67,2801,1/4/2017,True,Cancelled,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0
256,13,1580,22/10/2017,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618.0
257,65,352,22/3/2017,False,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0
258,49,1777,15/6/2017,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0
259,87,142,6/7/2017,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0
260,31,3393,28/12/2017,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,40618.0
261,17,599,9/5/2017,False,Approved,Solex,Standard,high,medium,1024.66,614.8,39880.0
262,91,1258,18/1/2017,False,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0
263,53,3405,22/10/2017,True,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,36668.0
264,38,3198,30/1/2017,False,Approved,Solex,Standard,medium,medium,1577.53,826.51,34170.0
265,20,834,26/6/2017,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0
266,44,3467,7/11/2017,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0
267,69,3436,13/8/2017,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922.0
268,68,1516,27/8/2017,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0
269,11,2833,25/1/2017,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,41345.0
270,2,2362,13/2/2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62,38573.0
271,27,2337,11/7/2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0
272,0,2149,30/4/2017,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0
273,81,2133,19/5/2017,False,Approved,Solex,Standard,medium,medium,1151.96,649.49,35470.0
274,6,360,26/5/2017,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701.0
275,76,2969,3/2/2017,True,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0
